overallocation,conflicts,undersupport,unavailable,unpreferred
8,4,3,6.0,18.0
6,2,9,10.0,9.0
8,4,5,5.0,15.0
12,0,0,18.0,11.0
8,6,2,6.0,17.0
8,6,2,3.0,22.0
7,4,7,16.0,5.0
5,0,9,1.0,22.0
10,10,1,0.0,26.0
6,2,6,0.0,25.0
10,8,0,2.0,25.0
6,6,6,8.0,13.0
3,2,7,2.0,19.0
9,6,6,14.0,7.0
7,0,11,7.0,10.0
7,0,6,10.0,12.0
9,4,3,3.0,21.0
5,2,3,5.0,20.0
7,2,6,10.0,10.0
8,2,4,12.0,9.0
7,0,6,9.0,13.0
8,2,2,6.0,21.0
10,2,0,11.0,17.0
5,0,5,8.0,16.0
9,2,3,15.0,11.0
6,0,10,0.0,19.0
7,0,4,10.0,14.0
11,2,2,7.0,15.0
9,8,2,0.0,25.0
6,0,2,17.0,16.0
4,2,7,11.0,12.0
7,6,4,6.0,16.0
7,0,7,2.0,19.0
9,2,4,1.0,25.0
6,0,8,7.0,12.0
11,2,2,5.0,17.0
11,0,1,7.0,18.0
7,0,3,8.0,19.0
11,4,0,4.0,21.0
12,0,0,19.0,10.0
8,0,2,17.0,12.0
5,0,6,2.0,22.0
8,0,4,7.0,15.0
7,0,3,3.0,25.0
10,4,1,9.0,14.0
8,0,2,9.0,18.0
7,0,7,3.0,18.0
8,0,6,4.0,17.0
8,4,1,1.0,26.0
5,0,9,9.0,12.0
7,0,6,1.0,23.0
9,2,3,2.0,23.0
6,4,6,1.0,23.0
12,2,0,14.0,13.0
11,0,1,14.0,12.0
3,2,4,4.0,20.0
9,4,2,14.0,10.0
9,6,5,15.0,7.0
6,2,3,14.0,13.0
9,2,3,4.0,17.0
10,8,3,16.0,8.0
13,0,3,21.0,8.0
9,2,2,1.0,27.0
11,4,2,3.0,19.0
11,0,1,9.0,17.0
12,0,0,14.0,14.0
6,0,4,15.0,10.0
4,0,8,16.0,9.0
6,0,8,9.0,11.0
5,0,9,3.0,16.0
7,0,4,5.0,18.0
8,6,2,7.0,14.0
8,2,4,6.0,17.0
11,8,4,15.0,8.0
6,0,9,0.0,20.0
7,0,10,7.0,11.0
13,0,0,9.0,18.0
12,2,1,2.0,26.0
8,2,3,2.0,24.0
5,0,7,7.0,14.0
4,2,4,7.0,17.0
8,6,4,4.0,17.0
8,6,6,15.0,6.0
7,4,8,7.0,11.0
8,0,2,19.0,11.0
9,6,2,2.0,22.0
5,0,6,12.0,12.0
9,2,1,2.0,27.0
9,0,4,2.0,22.0
7,0,3,7.0,20.0
7,6,9,6.0,12.0
7,6,9,8.0,9.0
8,2,6,9.0,11.0
7,0,4,8.0,15.0
5,2,9,11.0,8.0
6,0,5,5.0,16.0
8,6,5,10.0,10.0
9,0,3,8.0,14.0
8,0,2,4.0,23.0
9,6,0,5.0,19.0
11,2,0,7.0,18.0
6,0,2,15.0,17.0
3,0,9,10.0,12.0
5,0,9,12.0,10.0
6,0,5,12.0,10.0
7,0,6,11.0,10.0
7,4,6,6.0,13.0
11,4,1,2.0,22.0
9,2,6,15.0,7.0
9,2,0,4.0,26.0
7,0,11,2.0,15.0
6,6,7,8.0,12.0
8,2,5,11.0,10.0
10,0,1,5.0,23.0
6,4,6,10.0,12.0
6,0,3,16.0,14.0
5,4,8,8.0,12.0
4,0,8,14.0,10.0
9,4,2,9.0,13.0
8,0,3,4.0,22.0
8,8,4,5.0,16.0
4,2,4,6.0,18.0
10,4,1,7.0,16.0
8,4,5,6.0,14.0
6,0,7,9.0,13.0
8,0,3,8.0,15.0
13,8,0,8.0,16.0
9,4,4,1.0,21.0
